bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city
SUV,5.0,20000,2022,Diesel,1,Manual,1850000,Third Party insurance,1493.0,Hyundai,6,18.9,FWD,chennai
MUV,7.0,30000,2022,Diesel,1,Automatic,2000000,Third Party insurance,1493.0,Kia,6,18.9,RWD,chennai
Sedan,5.0,25000,2017,Diesel,1,Automatic,4500000,Comprehensive,1950.0,Mercedes-Benz,9,16.1,RWD,chennai
SUV,7.0,80000,2014,Diesel,3,Manual,700000,Third Party insurance,2179.0,Mahindra,6,15.1,FWD,chennai
Sedan,5.0,60000,2015,Petrol,2,Manual,585000,Third Party insurance,1591.0,Hyundai,5,17.1,FWD,chennai
SUV,5.0,20000,2022,Diesel,1,Manual,2050000,Third Party insurance,1956.0,Tata,6,16.35,FWD,chennai
SUV,5.0,20000,2022,Petrol,1,Automatic,1989999,Third Party insurance,1451.0,MG,8,18.9,FWD,chennai
SUV,5.0,20000,2022,Petrol,1,Automatic,1989999,Third Party insurance,1451.0,MG,8,18.9,FWD,chennai
SUV,5.0,55037,2020,Diesel,2,Manual,1445000,Third Party,1493.0,Hyundai,6,18.9,FWD,chennai
Hatchback,5.0,65607,2018,Petrol,1,Manual,451000,Zero Dep,1086.0,Hyundai,5,20.3,FWD,chennai
MUV,7.0,70000,2021,Cng,1,Manual,1100000,Third Party insurance,1462.0,Maruti,5,18.9,FWD,chennai
Hatchback,5.0,74777,2016,Petrol,1,Manual,631000,Comprehensive,1197.0,Hyundai,5,18.6,FWD,chennai
Sedan,5.0,102392,2012,Petrol,2,Manual,411000,Comprehensive,1496.0,Toyota,5,17.6,FWD,chennai
Sedan,5.0,90210,2015,Diesel,1,Manual,500000,Comprehensive,1498.0,Skoda,5,21.14,FWD,chennai
Sedan,5.0,62373,2014,Petrol,1,Manual,488000,Third Party,1197.0,Maruti,5,22.41,FWD,chennai
Sedan,5.0,80000,2015,Diesel,1,Manual,459999,Third Party insurance,1248.0,Tata,5,22.95,FWD,chennai
Hatchback,5.0,25219,2018,Petrol,2,Automatic,513999,Comprehensive,998.0,Maruti,5,26.0,FWD,chennai
Hatchback,5.0,64409,2014,Diesel,3,Manual,508000,Third Party,1248.0,Maruti,5,25.2,FWD,chennai
SUV,5.0,52000,2018,Diesel,1,Manual,865000,Comprehensive,1497.0,Tata,6,21.5,FWD,chennai
Sedan,5.0,30000,2018,Petrol,2,Automatic,855000,Comprehensive,1462.0,Maruti,4,20.28,FWD,chennai
Sedan,5.0,14000,2020,Diesel,1,Automatic,11800000,Comprehensive,2925.0,Mercedes-Benz,9,13.5,RWD,chennai
SUV,5.0,48574,2019,Diesel,1,Manual,925000,Comprehensive,1396.0,Hyundai,6,23.7,FWD,chennai
Sedan,5.0,71423,2012,Petrol,1,Automatic,509999,Comprehensive,1497.0,Honda,5,16.8,FWD,chennai
Sedan,5.0,30000,2020,Diesel,1,Automatic,5700000,Comprehensive,1950.0,Mercedes-Benz,9,16.1,RWD,chennai
Hatchback,5.0,75498,2013,Petrol,1,Manual,350000,Comprehensive,998.0,Maruti,5,18.9,FWD,chennai
Sedan,5.0,95963,2017,Petrol,1,Manual,630000,Third Party insurance,1497.0,Honda,5,17.8,FWD,chennai
Hatchback,5.0,46613,2015,Petrol,1,Manual,409999,Comprehensive,998.0,Maruti,5,20.51,FWD,chennai
SUV,5.0,30000,2017,Petrol,1,Manual,725000,Third Party insurance,1199.0,Honda,5,17.5,FWD,chennai
Sedan,5.0,18722,2015,Petrol,1,Manual,466000,Comprehensive,1198.0,Honda,5,18.0,FWD,chennai
SUV,5.0,5593,2023,Petrol,1,Automatic,1864000,Comprehensive,1353.0,Kia,7,16.5,FWD,chennai
SUV,5.0,40000,2017,Diesel,1,Automatic,2700000,Third Party insurance,1968.0,Audi,7,15.73,AWD,chennai
Hatchback,5.0,20875,2021,Petrol,1,Manual,503000,Third Party,998.0,Maruti,5,25.24,FWD,chennai
Hatchback,5.0,46436,2018,Petrol,2,Manual,309000,Third Party,799.0,Renault,5,25.17,FWD,chennai
Sedan,5.0,127672,2016,Petrol,1,Automatic,640000,Third Party insurance,1497.0,Honda,5,18.0,FWD,chennai
SUV,5.0,12814,2021,Petrol,1,Manual,841000,Third Party,1197.0,Hyundai,5,17.52,FWD,chennai
SUV,7.0,26000,2022,Diesel,1,Manual,1889999,Third Party,1956.0,Tata,6,16.14,FWD,chennai
Hatchback,5.0,45851,2011,Petrol,1,Manual,288000,Comprehensive,1197.0,Hyundai,5,20.36,FWD,chennai
SUV,5.0,36349,2021,Petrol,1,Manual,940000,Comprehensive,998.0,Hyundai,6,18.0,FWD,chennai
Hatchback,5.0,35000,2018,Petrol,1,Automatic,844999,Comprehensive,1197.0,Volkswagen,7,17.21,FWD,chennai
SUV,7.0,17059,2021,Diesel,1,Automatic,2055999,Comprehensive,1956.0,Tata,6,14.08,FWD,chennai
SUV,5.0,37000,2019,Diesel,1,Automatic,7700000,Comprehensive,2993.0,BMW,8,13.38,AWD,chennai
Hatchback,5.0,48163,2016,Petrol,2,Manual,400000,Comprehensive,998.0,Maruti,5,20.51,FWD,chennai
Sedan,5.0,40000,2013,Petrol,3,Manual,425000,Third Party insurance,1197.0,Maruti,5,19.1,FWD,chennai
Sedan,5.0,150000,2008,Diesel,2,Manual,200000,Third Party insurance,1405.0,Tata,5,17.0,FWD,chennai
Hatchback,5.0,20000,2020,Petrol,1,Manual,750000,Third Party insurance,999.0,Volkswagen,5,17.74,FWD,chennai
SUV,5.0,47000,2019,Diesel,1,Automatic,1689999,Comprehensive,1582.0,Hyundai,6,17.6,FWD,chennai
Hatchback,5.0,112711,2013,Petrol,1,Manual,310000,Comprehensive,1197.0,Hyundai,5,20.36,FWD,chennai
SUV,7.0,53000,2020,Diesel,1,Automatic,3900000,Comprehensive,2755.0,Toyota,6,15.04,4WD,chennai
Hatchback,5.0,65895,2016,Petrol,2,Automatic,437000,Comprehensive,998.0,Maruti,5,26.68,FWD,chennai
SUV,5.0,15625,2022,Petrol,1,Automatic,1026000,Comprehensive,1197.0,Mahindra,6,17.0,FWD,chennai
